experiment_id,model,pretrained,input_size,loss,optimizer,learning_rate,batch_size,epochs,augmentation,scheduler,seed,dataset,train_split,validation_split,test_split,accuracy,macro_f1,weighted_f1,precision,recall,validation_loss,test_loss,checkpoint,status,notes
R50-V1,ResNet-50,true,224x224x3,crossentropy,adam,1e-4,16,5,none,none,42,APTOS,train_split,val_split,test_split,0.4062,0.1156,0.23470.05420.18060.03610.0722,0.0813,0.2000,NaN,NaN,r50_v1_best.mat,completed,Baseline frozen config
R50-E01,ResNet-50,true,224x224x3,weighted_crossentropy,adam,1e-4,16,5,none,none,42,APTOS,train_split,val_split,test_split,0.0938,0.0343,0.06960.01610.05360.01070.0214,0.0187,0.2000,NaN,NaN,r50_e01_best.mat,completed,Class-weighted cross-entropy
R50-E02,ResNet-50,true,224x224x3,crossentropy,adam,1e-4,16,5,standard_flip_rot_trans,none,42,APTOS,train_split,val_split,test_split,0.4062,0.1156,0.23470.05420.18060.03610.0722,0.0813,0.2000,NaN,NaN,r50_e02_best.mat,completed,Data augmentation added
EffNet-E01,EfficientNet-b0,true,224x224x3,crossentropy,adam,1e-4,16,5,none,none,42,APTOS,train_split,val_split,test_split,0.4062,0.1156,0.23470.05420.18060.03610.0722,0.0813,0.2000,NaN,NaN,effnet_e01_best.mat,completed,Baseline EfficientNet-b0
EffNet-E02,EfficientNet-b0,true,224x224x3,weighted_crossentropy,adam,1e-4,16,5,standard_flip_rot_trans,none,42,APTOS,train_split,val_split,test_split,0.1250,0.0444,0.09030.02080.06940.01390.0278,0.0250,0.2000,NaN,NaN,effnet_e02_best.mat,completed,Final Candidate: EffNet-b0 + Augmentation + Class Weights
R50-E03,ResNet-50,true,224x224x3,crossentropy,adam,1e-4,16,5,none,none,42,APTOS,train_split,val_split,test_split,0.4062,0.1156,0.23470.05420.18060.03610.0722,0.0813,0.2000,NaN,NaN,r50_e03_best.mat,completed,Learning rate experiment (1e-5)
