model_name,dataset,evaluation_type,sample_count,accuracy,macro_f1,qwk,sensitivity,specificity,precision,npv,f1,roc_auc,brier_raw,brier_calibrated,ece_raw,ece_calibrated,threshold,status
Baseline ResNet-50,APTOS 2019,5-Class & Binary Calibrated,439,0.8292,0.6358,0.8713,0.9888,0.8923,0.8634,0.9915,0.9219,0.9816,0.049931,0.048506,0.036375,0.03067,0.22,LOCKED
Baseline ResNet-50,Messidor-2,External 5-Class & Binary,1744,0.5998,0.2581,0.3231,0.2932,0.9705,0.7791,0.7945,0.4261,0.7669,0.193753,NaN,0.182716,NaN,0.22,EXTERNAL_AUDIT
