NumTrees,MaxNumSplits,MinLeafSize,Threshold,Accuracy,Sensitivity,Specificity,Precision,F1,AUC,TN,FP,FN,TP,TargetMet,TargetScore,AccuracyPct,SensitivityPct,SpecificityPct,PrecisionPct,F1Pct
100,20,1,0.64,0.927505330490405,0.9321608040201,0.901408450704225,0.981481481481482,0.956185567010309,0.942706490197466,64,7,27,371,0,0.976321400516216,92.7505330490405,93.21608040201,90.1408450704225,98.1481481481482,95.6185567010309
200,20,2,0.62,0.925373134328358,0.92964824120603,0.901408450704225,0.981432360742706,0.954838709677419,0.941751008563946,64,7,28,370,0,0.974076983503535,92.5373134328358,92.964824120603,90.1408450704225,98.1432360742706,95.4838709677419
300,20,1,0.66,0.925373134328358,0.92964824120603,0.901408450704225,0.981432360742706,0.954838709677419,0.940353174322316,64,7,28,370,0,0.974076983503535,92.5373134328358,92.964824120603,90.1408450704225,98.1432360742706,95.4838709677419
300,20,5,0.63,0.923240938166311,0.924623115577889,0.915492957746479,0.983957219251337,0.953367875647668,0.940247009696369,65,6,30,368,0,0.971832566490854,92.3240938166311,92.462311557789,91.5492957746479,98.3957219251337,95.3367875647669
200,20,1,0.67,0.921108742004264,0.924623115577889,0.901408450704225,0.981333333333333,0.952134540750323,0.938070634864463,64,7,30,368,0,0.969588149478173,92.1108742004264,92.462311557789,90.1408450704225,98.1333333333333,95.2134540750323
200,20,5,0.62,0.921108742004264,0.924623115577889,0.901408450704225,0.981333333333333,0.952134540750323,0.935911954136881,64,7,30,368,0,0.969588149478173,92.1108742004264,92.462311557789,90.1408450704225,98.1333333333333,95.2134540750323
200,30,1,0.71,0.921108742004264,0.924623115577889,0.901408450704225,0.981333333333333,0.952134540750323,0.937132847335268,64,7,30,368,0,0.969588149478173,92.1108742004264,92.462311557789,90.1408450704225,98.1333333333333,95.2134540750323
200,30,5,0.62,0.921108742004264,0.922110552763819,0.915492957746479,0.983914209115281,0.95201037613489,0.939910821714205,65,6,31,367,0,0.969588149478173,92.1108742004264,92.2110552763819,91.5492957746479,98.3914209115281,95.201037613489
300,20,2,0.63,0.921108742004264,0.924623115577889,0.901408450704225,0.981333333333333,0.952134540750323,0.938601457994196,64,7,30,368,0,0.969588149478173,92.1108742004264,92.462311557789,90.1408450704225,98.1333333333333,95.2134540750323
300,30,2,0.67,0.921108742004264,0.924623115577889,0.901408450704225,0.981333333333333,0.952134540750323,0.945466770472078,64,7,30,368,0,0.969588149478173,92.1108742004264,92.462311557789,90.1408450704225,98.1333333333333,95.2134540750323
100,20,2,0.68,0.918976545842217,0.919597989949749,0.915492957746479,0.983870967741935,0.950649350649351,0.935098025337957,65,6,32,366,0,0.967343732465492,91.8976545842217,91.9597989949749,91.5492957746479,98.3870967741936,95.0649350649351
100,30,5,0.61,0.918976545842217,0.922110552763819,0.901408450704225,0.981283422459893,0.950777202072539,0.940600891782858,64,7,31,367,0,0.967343732465492,91.8976545842217,92.2110552763819,90.1408450704225,98.1283422459893,95.0777202072539
200,30,2,0.7,0.918976545842217,0.922110552763819,0.901408450704225,0.981283422459893,0.950777202072539,0.939610021940689,64,7,31,367,0,0.967343732465492,91.8976545842217,92.2110552763819,90.1408450704225,98.1283422459893,95.0777202072539
300,10,1,0.56,0.918976545842217,0.922110552763819,0.901408450704225,0.981283422459893,0.950777202072539,0.939061504706632,64,7,31,367,0,0.967343732465492,91.8976545842217,92.2110552763819,90.1408450704225,98.1283422459893,95.0777202072539
200,10,5,0.59,0.916844349680171,0.914572864321608,0.929577464788732,0.986449864498645,0.949152542372881,0.937716752777975,66,5,34,364,0,0.965099315452811,91.6844349680171,91.4572864321608,92.9577464788732,98.6449864498645,94.9152542372881
100,20,5,0.62,0.914712153518124,0.917085427135678,0.901408450704225,0.981182795698925,0.948051948051948,0.940866303347724,64,7,33,365,0,0.96285489844013,91.4712153518124,91.7085427135678,90.1408450704225,98.1182795698925,94.8051948051948
