Model,Threshold,Accuracy,Sensitivity,Specificity,Precision,F1,AUC,TN,FP,FN,TP,TargetMet,AccuracyPct,SensitivityPct,SpecificityPct,PrecisionPct,F1Pct,TargetScore
DecisionTree,0.38,0.906183368869936,0.934673366834171,0.746478873239437,0.953846153846154,0.944162436548223,0.839479085568689,53,18,26,372,0,90.6183368869936,93.4673366834171,74.6478873239437,95.3846153846154,94.4162436548223,0.791165777944265
BaggedTrees,0.7,0.916844349680171,0.919597989949749,0.901408450704225,0.981233243967828,0.949416342412451,0.941432514686107,64,7,32,366,0,91.6844349680171,91.9597989949749,90.1408450704225,98.1233243967828,94.9416342412451,0.965099315452811
RUSBoost,0.78,0.891257995735608,0.989949748743719,0.338028169014085,0.893424036281179,0.939213349225268,0.919226413758935,24,47,4,394,0,89.1257995735608,98.9949748743718,33.8028169014084,89.3424036281179,93.9213349225268,0.352362933821837
