MaxNumSplits,MinLeafSize,Threshold,Accuracy,Sensitivity,Specificity,Precision,F1,AUC
15,1,0.13,0.921108742004264,0.939698492462312,0.816901408450704,0.96640826873385,0.952866242038217,0.872708613489985
30,2,0.42,0.916844349680171,0.947236180904523,0.746478873239437,0.954430379746835,0.950819672131148,0.842929435911954
50,1,0.38,0.916844349680171,0.957286432160804,0.690140845070423,0.945409429280397,0.951310861423221,0.806408804586312
15,3,0.71,0.914712153518124,0.924623115577889,0.859154929577465,0.973544973544973,0.948453608247423,0.891588222804162
50,3,0.83,0.912579957356077,0.934673366834171,0.788732394366197,0.961240310077519,0.947770700636943,0.8588187415953
20,5,0.93,0.908315565031983,0.917085427135678,0.859154929577465,0.973333333333333,0.944372574385511,0.890261164979829
10,3,0.31,0.906183368869936,0.912060301507538,0.873239436619718,0.975806451612903,0.942857142857143,0.900930709887465
15,2,0.13,0.906183368869936,0.92713567839196,0.788732394366197,0.9609375,0.943734015345268,0.85064406539741
30,1,0.78,0.906183368869936,0.937185929648241,0.732394366197183,0.951530612244898,0.944303797468354,0.830897444971336
20,1,0.49,0.906183368869936,0.939698492462312,0.71830985915493,0.949238578680203,0.944444444444445,0.82760634156699
50,2,0.71,0.906183368869936,0.939698492462312,0.71830985915493,0.949238578680203,0.944444444444445,0.82286432160804
40,2,0.6,0.906183368869936,0.944723618090452,0.690140845070423,0.944723618090452,0.944723618090452,0.817485313893411
40,3,0.78,0.904051172707889,0.937185929648241,0.71830985915493,0.94910941475827,0.943109987357775,0.826120036803737
20,3,0.55,0.901918976545842,0.922110552763819,0.788732394366197,0.960732984293194,0.941025641025641,0.857880954066105
40,1,0.81,0.901918976545842,0.937185929648241,0.704225352112676,0.946700507614213,0.941919191919192,0.822032698704792
10,10,0.74,0.899786780383795,0.902010050251256,0.887323943661972,0.978201634877384,0.938562091503268,0.896011748885271
20,8,0.68,0.899786780383795,0.907035175879397,0.859154929577465,0.973045822102426,0.93888166449935,0.880670960435983
30,3,0.55,0.899786780383795,0.92964824120603,0.732394366197183,0.951156812339332,0.940279542566709,0.834418571731899
10,2,0.76,0.897654584221748,0.909547738693467,0.830985915492958,0.967914438502674,0.937823834196891,0.885059098308444
20,2,0.55,0.897654584221748,0.934673366834171,0.690140845070423,0.944162436548223,0.939393939393939,0.803630830207375
5,8,0.52,0.893390191897655,0.891959798994975,0.901408450704225,0.980662983425414,0.934210526315789,0.91119329039564
10,8,0.86,0.891257995735608,0.886934673366834,0.915492957746479,0.983286908077994,0.932628797886394,0.902045438459905
5,2,0.24,0.891257995735608,0.889447236180904,0.901408450704225,0.980609418282548,0.932806324110672,0.887890155000354
15,10,0.87,0.891257995735608,0.899497487437186,0.845070422535211,0.970189701897019,0.933507170795306,0.850042465850379
30,5,0.62,0.891257995735608,0.904522613065327,0.816901408450704,0.96514745308311,0.933852140077821,0.860499681506122
50,10,0.8,0.889125799573561,0.889447236180904,0.887323943661972,0.977900552486188,0.931578947368421,0.904434142543705
30,10,0.65,0.889125799573561,0.894472361809045,0.859154929577465,0.972677595628415,0.931937172774869,0.860234269941256
15,5,0.16,0.889125799573561,0.907035175879397,0.788732394366197,0.960106382978723,0.9328165374677,0.854890650435275
5,1,0.72,0.886993603411514,0.881909547738693,0.915492957746479,0.983193277310924,0.929801324503311,0.892508316229032
10,1,0.8,0.886993603411514,0.884422110552764,0.901408450704225,0.98050139275766,0.92998678996037,0.899002052516102
50,5,0.75,0.884861407249467,0.894472361809045,0.830985915492958,0.967391304347826,0.929503916449086,0.861738268808833
40,8,0.83,0.88272921108742,0.889447236180904,0.845070422535211,0.96986301369863,0.927916120576671,0.878176091726237
40,5,0.83,0.88272921108742,0.907035175879397,0.746478873239437,0.952506596306069,0.929214929214929,0.835285582843796
5,5,0.8,0.880597014925373,0.874371859296482,0.915492957746479,0.983050847457627,0.925531914893617,0.905106518508033
10,5,0.74,0.880597014925373,0.884422110552764,0.859154929577465,0.972375690607735,0.926315789473684,0.886510014863048
50,8,0.68,0.880597014925373,0.889447236180904,0.830985915492958,0.967213114754098,0.926701570680628,0.860110411210985
30,8,0.85,0.878464818763326,0.881909547738693,0.859154929577465,0.972299168975069,0.924901185770751,0.867541935027249
40,10,0.67,0.876332622601279,0.876884422110553,0.873239436619718,0.974860335195531,0.923280423280423,0.909069997876707
15,8,0.85,0.874200426439232,0.871859296482412,0.887323943661972,0.977464788732394,0.921646746347942,0.881520277443556
5,10,0.77,0.867803837953092,0.861809045226131,0.901408450704225,0.98,0.917112299465241,0.865170925047774
5,3,0.8,0.859275053304904,0.85427135678392,0.887323943661972,0.977011494252874,0.911528150134048,0.883095052728431
20,10,0.78,0.859275053304904,0.85929648241206,0.859154929577465,0.971590909090909,0.912,0.860977422322882
