NumTrees,MaxNumSplits,MinLeafSize,Threshold,Accuracy,Sensitivity,Specificity,Precision,F1,AUC,TN,FP,FN,TP,TargetMet,TargetScore,AccuracyPct,SensitivityPct,SpecificityPct,PrecisionPct,F1Pct
500,25,2,0.61,0.936034115138593,0.942211055276382,0.901408450704225,0.981675392670157,0.961538461538462,0.945838346662892,64,7,23,375,0,0.98529906856694,93.6034115138593,94.2211055276382,90.1408450704225,98.1675392670157,96.1538461538462
100,20,5,0.61,0.929637526652452,0.92964824120603,0.929577464788732,0.986666666666667,0.957309184993532,0.946953075235331,66,5,28,370,0,0.978565817528897,92.9637526652452,92.964824120603,92.9577464788732,98.6666666666667,95.7309184993532
100,20,3,0.63,0.929637526652452,0.934673366834171,0.901408450704225,0.981530343007916,0.957528957528958,0.946280699271003,64,7,26,372,0,0.978565817528897,92.9637526652452,93.4673366834171,90.1408450704225,98.1530343007915,95.7528957528958
300,30,1,0.71,0.929637526652452,0.934673366834171,0.901408450704225,0.981530343007916,0.957528957528958,0.945997593601812,64,7,26,372,0,0.978565817528897,92.9637526652452,93.4673366834171,90.1408450704225,98.1530343007915,95.7528957528958
500,25,5,0.62,0.927505330490405,0.92713567839196,0.929577464788732,0.986631016042781,0.955958549222798,0.945165970698563,66,5,29,369,0,0.976321400516216,92.7505330490405,92.713567839196,92.9577464788732,98.6631016042781,95.5958549222798
100,25,1,0.71,0.927505330490405,0.92964824120603,0.915492957746479,0.984042553191489,0.956072351421189,0.947607757095336,65,6,28,370,0,0.976321400516216,92.7505330490405,92.964824120603,91.5492957746479,98.4042553191489,95.6072351421189
200,25,1,0.7,0.927505330490405,0.92964824120603,0.915492957746479,0.984042553191489,0.956072351421189,0.943166536909902,65,6,28,370,0,0.976321400516216,92.7505330490405,92.964824120603,91.5492957746479,98.4042553191489,95.6072351421189
300,20,3,0.63,0.927505330490405,0.92964824120603,0.915492957746479,0.984042553191489,0.956072351421189,0.947023851652629,65,6,28,370,0,0.976321400516216,92.7505330490405,92.964824120603,91.5492957746479,98.4042553191489,95.6072351421189
100,15,1,0.67,0.927505330490405,0.9321608040201,0.901408450704225,0.981481481481482,0.956185567010309,0.939326916271498,64,7,27,371,0,0.976321400516216,92.7505330490405,93.21608040201,90.1408450704225,98.1481481481482,95.6185567010309
200,15,1,0.63,0.927505330490405,0.9321608040201,0.901408450704225,0.981481481481482,0.956185567010309,0.947023851652629,64,7,27,371,0,0.976321400516216,92.7505330490405,93.21608040201,90.1408450704225,98.1481481481482,95.6185567010309
300,20,2,0.66,0.927505330490405,0.9321608040201,0.901408450704225,0.981481481481482,0.956185567010309,0.940795526930427,64,7,27,371,0,0.976321400516216,92.7505330490405,93.21608040201,90.1408450704225,98.1481481481482,95.6185567010309
300,30,3,0.62,0.927505330490405,0.9321608040201,0.901408450704225,0.981481481481482,0.956185567010309,0.945696793828296,64,7,27,371,0,0.976321400516216,92.7505330490405,93.21608040201,90.1408450704225,98.1481481481482,95.6185567010309
200,15,5,0.61,0.925373134328358,0.924623115577889,0.929577464788732,0.986595174262735,0.954604409857328,0.944440512421261,66,5,30,368,0,0.974076983503535,92.5373134328358,92.462311557789,92.9577464788732,98.6595174262735,95.4604409857328
100,30,1,0.71,0.925373134328358,0.92713567839196,0.915492957746479,0.984,0.954721862871928,0.942954207658008,65,6,29,369,0,0.974076983503535,92.5373134328358,92.713567839196,91.5492957746479,98.4,95.4721862871928
500,20,1,0.66,0.925373134328358,0.92713567839196,0.915492957746479,0.984,0.954721862871928,0.942494160945573,65,6,29,369,0,0.974076983503535,92.5373134328358,92.713567839196,91.5492957746479,98.4,95.4721862871928
